X,Y,OBJECTID,NAME,ADDRESS,ID,ZIPCODE,WARD
-77.0589796634529,38.9046634491198,52,Bank of Georgetown,1115 30TH STREET NW,28,20007,2
-77.0233909896196,38.8960038273847,53,Bank of Georgetown,822 E STREET NW,29,20004,2
-77.062453646422,38.9027789872517,54,Bank of Georgetown,1001 WISCONSIN AVENUE NW,30,20007,2
-77.0397372669847,38.9040399131064,55,Bank of Georgetown,1101 CONNECTICUT AVENUE NW,31,20036,2
-77.0312999438621,38.9010353987986,56,Bank of Georgetown,1350 I STREET NW,32,20005,2
-77.0375300184989,38.9021914077181,57,Bank of America,1612 K STREET NW,33,20006,2
-77.0203542626654,38.8971298111982,58,Bank of America,610 F STREET NW,34,20004,2
-77.0261844638869,38.8963263646997,59,Bank of America,1001 E STREET NW,35,20004,2
-77.0300019228716,38.8987414900078,60,Bank of America,700 13TH STREET NW,36,20005,2
-77.0389157771769,38.9054103602046,61,Bank of America,1710 M STREET NW,37,20036,2
-77.0420066918416,38.9039904740157,62,Bank of America,1801 L STREET NW,38,20036,2
-77.048559503184,38.8999973213898,63,Bank of America,801 22ND STREET NW,39,20052,2
-77.044550214635,38.9021923646586,64,Bank of America,1990 K STREET NW,40,20006,2
-77.0439087603771,38.8971265750459,65,Bank of America,1900 F STREET NW,41,20052,2
-77.0453339462178,38.9016807487374,66,Bank of America,2001 PENNSYLVANIA AVENUE NW,42,20006,2
-77.0165446181518,38.894321243667,67,DGE FCU,300 INDIANA AVENUE NW,43,20001,2
-77.0259902540455,38.8888161278691,68,Agriculture FCU,1000 JEFFERSON DRIVE SW,44,20560,2
-77.0636631126948,38.9076828426724,69,7-Eleven (Allpoint),1340 WISCONSIN AVENUE NW,45,20007,2
-77.0147821017181,38.8965670859378,70,Lobby Mart (Allpoint),501 3RD STREET NW,46,20001,2
-77.0168825839754,38.90010681768,71,CVS(Allpoint),400 MASSACHUSETTS AVENUE NW,47,20001,2
-77.057698451428,38.9055189816863,72,CVS(Allpoint),2819 M STREET NW,48,20007,2
-77.0227321736276,38.8959519791793,73,CVS(Allpoint),435 8TH STREET NW,49,20004,2
